url,written,written_human_readable,origin,shape,shards,chunks,dimension_names,license,name,description,organismId,fbbiId
https://storage.googleapis.com/jax-public-ngff/public/42051.zarr,5303623562,4.9 GiB,https://images.jax.org/webclient/?show=image-174652,"1,3,1,46336,94080","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/38877.zarr,4985801620,4.6 GiB,https://images.jax.org/webclient/?show=image-165379,"1,3,1,49408,59520","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/45279.zarr,7495235929,7.0 GiB,https://images.jax.org/webclient/?show=image-183986,"1,3,1,41728,94080","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/42309.zarr,3210985175,3.0 GiB,https://images.jax.org/webclient/?show=image-175426,"1,3,1,40448,71040","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/40202.zarr,5388180921,5.0 GiB,https://images.jax.org/webclient/?show=image-169304,"1,3,1,49408,71040","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/44776.zarr,7598937648,7.1 GiB,https://images.jax.org/webclient/?show=image-182478,"1,3,1,51968,65280","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/39374.zarr,3125433366,2.9 GiB,https://images.jax.org/webclient/?show=image-166820,"1,3,1,36864,67200","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/40862.zarr,5717660628,5.3 GiB,https://images.jax.org/webclient/?show=image-171185,"1,3,1,51968,78720","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/41028.zarr,2084056102,1.9 GiB,https://images.jax.org/webclient/?show=image-171682,"1,3,1,32256,53760","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/44357.zarr,7274962824,6.8 GiB,https://images.jax.org/webclient/?show=image-181321,"1,3,1,50688,69120","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/44742.zarr,8976893314,8.4 GiB,https://images.jax.org/webclient/?show=image-182374,"1,3,1,50432,84480","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/43516.zarr,11316549660,10.5 GiB,https://images.jax.org/webclient/?show=image-178798,"1,3,1,55296,92160","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/38596.zarr,7213930505,6.7 GiB,https://images.jax.org/webclient/?show=image-164537,"1,3,1,52992,97920","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/39678.zarr,6019383326,5.6 GiB,https://images.jax.org/webclient/?show=image-167734,"1,3,1,54784,92160","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/45103.zarr,8628996498,8.0 GiB,https://images.jax.org/webclient/?show=image-183457,"1,3,1,46080,97920","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/43966.zarr,8953253500,8.3 GiB,https://images.jax.org/webclient/?show=image-180148,"1,3,1,47104,82560","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/39026.zarr,5820308319,5.4 GiB,https://images.jax.org/webclient/?show=image-165828,"1,3,1,43008,82560","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/40582.zarr,6027684070,5.6 GiB,https://images.jax.org/webclient/?show=image-170395,"1,3,1,53760,96000","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/43482.zarr,5940141567,5.5 GiB,https://images.jax.org/webclient/?show=image-178696,"1,3,1,40192,74880","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/39623.zarr,6693677746,6.2 GiB,https://images.jax.org/webclient/?show=image-167567,"1,3,1,53248,82560","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/42133.zarr,3914281001,3.6 GiB,https://images.jax.org/webclient/?show=image-174897,"1,3,1,54016,90240","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/43461.zarr,5618341327,5.2 GiB,https://images.jax.org/webclient/?show=image-178632,"1,3,1,39424,59520","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/40428.zarr,3567835730,3.3 GiB,https://images.jax.org/webclient/?show=image-169983,"1,3,1,36864,94080","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/42502.zarr,10081326735,9.4 GiB,https://images.jax.org/webclient/?show=image-175955,"1,3,1,52736,88320","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/45168.zarr,8945943452,8.3 GiB,https://images.jax.org/webclient/?show=image-183654,"1,3,1,51200,74880","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/43831.zarr,6644308160,6.2 GiB,https://images.jax.org/webclient/?show=image-179742,"1,3,1,44544,69120","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/38881.zarr,3309463132,3.1 GiB,https://images.jax.org/webclient/?show=image-165392,"1,3,1,48128,53760","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/41005.zarr,3209897209,3.0 GiB,https://images.jax.org/webclient/?show=image-171614,"1,3,1,48896,53760","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/41724.zarr,3980067217,3.7 GiB,https://images.jax.org/webclient/?show=image-173670,"1,3,1,43776,74880","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/44719.zarr,4079533299,3.8 GiB,https://images.jax.org/webclient/?show=image-182305,"1,3,1,34816,63360","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/39511.zarr,4020085556,3.7 GiB,https://images.jax.org/webclient/?show=image-167232,"1,3,1,46592,94080","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/41258.zarr,3753269557,3.5 GiB,https://images.jax.org/webclient/?show=image-172374,"1,3,1,51200,82560","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/44220.zarr,8401363515,7.8 GiB,https://images.jax.org/webclient/?show=image-180908,"1,3,1,50944,74880","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/44951.zarr,4852794182,4.5 GiB,https://images.jax.org/webclient/?show=image-183001,"1,3,1,39936,57600","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/46082.zarr,11995009198,11.2 GiB,https://images.jax.org/webclient/?show=image-186396,"1,3,1,55296,97920","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/41576.zarr,4232327421,3.9 GiB,https://images.jax.org/webclient/?show=image-173327,"1,3,1,46336,67200","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
https://storage.googleapis.com/jax-public-ngff/public/44601.zarr,5902001836,5.5 GiB,https://images.jax.org/webclient/?show=image-181952,"1,3,1,40960,71040","1,3,1,32768,32768","1,3,1,1024,1024","t,c,z,y,x",https://creativecommons.org/licenses/by/4.0/,,,NCBI:txid10090,obo:FBbi_00000243
